| DSS-AC-001 | NOT_RUN | DSS-REQ-001 | 功能已实现并可登录平台 | 打开左侧“运行监控”菜单进入页面，观察页面标题、菜单、地址栏、面包屑 | 菜单、页面标题、路由元数据标题、面包屑均显示“源库快照状态”，无第二个同名入口；“源库快照状态”作为用户可见名称全平台统一 |
| DSS-AC-002 | NOT_RUN | DSS-REQ-002 | 文档与实现为当前版本 | 检查 Feature 文档目录、任务代码前缀与路由 | Feature 目录标识为 `data-source-snapshot-status`，任务代码前缀 `DATA-SOURCE-SNAPSHOT-STATUS`，功能归属“运行监控”；需求编号前缀 `DSS-REQ-`、验收前缀 `DSS-AC-` |
| DSS-AC-003 | NOT_RUN | DSS-REQ-003 | 路由表为当前事实 | 检查 `frontend/src/router/index.ts` | 存在且仅存在一条 `/monitor/data-source-state` 路由记录，地址栏访问该路由正常进入本页面；未新增、重命名或删除该路由 |
| DSS-AC-004 | NOT_RUN | DSS-REQ-004 | 源码目录为当前事实 | 检查前端源码目录 | 页面组件仍位于 `frontend/src/views/data-source-run-state/`，目录未做无业务价值重命名；文档命名映射（路由 ↔ 代码目录 ↔ Feature slug ↔ 用户可见名）一致 |
| DSS-AC-005 | NOT_RUN | DSS-REQ-005 | 功能已实现 | 检查菜单、路由元数据、页面标题、面包屑 | 已不存在“数据源运行状态”旧名残留；四处均更新为“源库快照状态” |
| DSS-AC-006 | NOT_RUN | DSS-REQ-006 | 存在 RUNNING 与 COMPLETED 构造样例 | 对照数据库只读结果观察列表 | 每行对应一个“探针端＋源库”组合的初始快照状态；`SNAPSHOT_RUNNING` 语义为源库初始快照执行中、`SNAPSHOT_COMPLETED` 语义为源库初始快照已完成 |
| DSS-AC-007 | NOT_RUN | DSS-REQ-007 | 功能已实现 | 观察整页结构、文案与字段 | 页面只呈现初始快照状态信息；不出现 sync-client 在线/健康/失联判定，不呈现增量采集是否正常或当前同步进度语义 |
| DSS-AC-008 | NOT_RUN | DSS-REQ-008, DSS-REQ-009 | 具备代码审阅条件 | 检查本仓库代码与文档 | sync-client 启动时“按 RUN_STATE 决策（只增量/插入 RUNNING 并快照/RUNNING 重跑）”只作为跨程序业务事实记录，本仓库（仅 `cdc-config`）不实现该逻辑、不调用 sync-client，无新增 sync-client 交互代码 |
| DSS-AC-009 | NOT_RUN | DSS-REQ-010 | 存在 COMPLETED 样例且 `UPDATED_AT` 早于当前时间 | 观察该行及页面整体 | 页面与接口不依据 `UPDATED_AT` 或任何时间字段推断或展示 sync-client 在线、健康、离线或异常 |
| DSS-AC-010 | NOT_RUN | DSS-REQ-011, DSS-REQ-013 | 功能已实现，具备代码审阅与 SQL 日志/审计取证条件 | 检查本功能全部接口与后端 Controller/Service/Mapper/注解 SQL/XML，及查询/刷新期间 SQL 日志或数据库审计 | ①Controller 只暴露只读查询；②Service 不调用 save/update/remove/delete 等写能力；③Mapper/注解 SQL/XML 对 `CDC_DATA_SOURCE_RUN_STATE` 仅执行 `SELECT`；④不存在针对该表的 INSERT/UPDATE/DELETE/MERGE；⑤查询与刷新期间经 SQL 日志/数据库审计确认无 DML；⑥`CDC_CLIENT_MULTIPLE`、`CDC_DATA_SOURCE`（如用于 LEFT JOIN）同样只读 |
| DSS-AC-011 | NOT_RUN | DSS-REQ-012 | 已进入页面 | 观察页面 | 页面不提供新增、修改、删除、重置、重新快照、重试或批量操作入口；无写按钮；无操作列 |
| DSS-AC-012 | NOT_RUN | DSS-REQ-014 | 页面已展示列表 | 触发首次查询、手工“立即刷新”并等待自动刷新，观察网络面板与页面行为 | 每次操作均只产生读取语义；不出现任何针对本表或其他表的写请求；页面数据不被任何展示动作改变 |
| DSS-AC-013 | NOT_RUN | DSS-REQ-015 | 存在关联配置与 RUN_STATE 行 | 检查列表 SQL 与展示结果 | 使用 LEFT JOIN 补充探针端描述与源库 ORG 等展示信息；行集合由 RUN_STATE 驱动且不被 JOIN 改变；即使某行关联配置不存在，该行仍展示（见 §4.8） |
| DSS-AC-014 | NOT_RUN | DSS-REQ-016 | 数据库存在 RUN_STATE 记录 | 对照数据库只读结果观察列表 | 列表行集合与 `CDC_DATA_SOURCE_RUN_STATE` 实际存在行一一对应，无凭空多出的行 |
| DSS-AC-015 | NOT_RUN | DSS-REQ-017 | `CDC_CLIENT_MULTIPLE`/`CDC_DATA_SOURCE` 存在但 RUN_STATE 无对应记录的“探针端＋源库”组合 | 进入页面执行缺省查询 | 这些组合不展示；未依据配置表补出缺失行 |
| DSS-AC-016 | NOT_RUN | DSS-REQ-018 | 功能已实现 | 观察整页 | 不出现“未开始”“待快照”“尚无快照记录”等推断或虚拟状态 |
| DSS-AC-017 | NOT_RUN | DSS-REQ-019 | 关联探针端或源库配置缺失/停用/异常 | 进入页面并设置相应查询 | 对应 RUN_STATE 行仍照常展示，未被过滤 |
| DSS-AC-018 | NOT_RUN | DSS-REQ-020, DSS-REQ-021 | 数据库 RUN_STATE 行数在约 100 以内 | 进入页面并观察请求与列表 | 一次请求返回全部符合条件记录；页面无分页、无每页条数与翻页控件；无客户端二次翻页拉取 |
| DSS-AC-019 | NOT_RUN | DSS-REQ-016, DSS-REQ-026 | 结果跨多类状态 | 进入页面观察序号与数据源组合 | 序号为完整结果集内稳定连续显示序号；出现两个相同 `CLIENT_ID+DATA_SOURCE_ID` 组合的重复行计为异常（行唯一标识为该组合） |
| DSS-AC-020 | NOT_RUN | DSS-REQ-022, DSS-REQ-075 | 已进入页面 | 观察查询区；逐个打开三个条件控件；把某条件由“全部”切换为具体候选再切回“全部”；在同一条件内选择多个具体候选 | 查询条件固定为探针端、源库、快照状态三项，不出现时间范围、在线状态、健康状态、关键字或其他条件；三项均为多选控件且每项提供显式“全部”、默认选中“全部”；某条件的“全部”与其具体候选互斥（选任一具体候选即退出“全部”，改选“全部”即清空该条件具体候选）。探针端候选 option 为截断后的 `CLIENT_ID（CLIENT_DESC）` 信息结构（展示层，第二轮现行规则见 `DSS-AC-084/085`）：`CLIENT_ID` 与 `CLIENT_DESC` 各最多展示前 20 个 Unicode 字符、超出追加三个英文句点 `...`，描述为空时不显示空括号；option `value` 与点击查询提交值仍为完整原始 `CLIENT_ID`，候选集合来源、去重与过滤语义不因展示截断改变；选择框闭合后已选标签宽度约束与 ellipsis、控件与下拉面板宽度上限见 `DSS-AC-085` |
| DSS-AC-021 | NOT_RUN | DSS-REQ-023 | 首次通过左侧菜单进入页面 | 场景 A（首次自动查询成功）：进入页面观察网络与结果；场景 B（首次自动查询失败）：制造首次失败并观察页面与“已应用查询条件”，随后让一次重试成功 | A：无需点击“查询”，页面自动以三项“全部”查询一次并成功展示结果，该组“全部”成为初始“已应用查询条件”；B：当前无历史成功结果，展示首次加载失败状态与“重新加载”入口（展示形态另见 DSS-AC-056），“已应用查询条件”仍为初始三项“全部”，点击“重新加载”或后续自动重试仍按三项“全部”发起，首次查询成功后该组“全部”才可能被替换（“仅成功才替换已应用条件”规则见 DSS-AC-024） |
| DSS-AC-022 | NOT_RUN | DSS-REQ-024, DSS-REQ-075 | 存在 RUN_STATE 记录；分别存在/不存在未知状态记录的两种数据集（无未知/含未知数据集构造见 §4.16） | ①打开探针端/源库候选；②在含未知记录的数据集打开快照状态候选；③在无未知记录的数据集打开快照状态候选；④选择“未知状态”发起查询；⑤查看未知行 | ①探针端/源库候选只来自当前 RUN_STATE 实际记录及其可选展示信息，未在 RUN_STATE 出现的探针端/源库不出现；探针端候选 option 标签为截断后的 `CLIENT_ID（CLIENT_DESC）`（`CLIENT_ID` 与 `CLIENT_DESC` 各最多展示前 20 个 Unicode 字符、超出追加 `...`，展示层截断，规则见 `DSS-AC-084/085`），option `value` 与提交值仍为完整原始 `CLIENT_ID`，候选集合来源不因展示截断改变；②状态条件出现“未知状态”；③不出现“未知状态”；④“未知状态”筛出所有原始 `SNAPSHOT_STATUS` 不属于 `SNAPSHOT_RUNNING`/`SNAPSHOT_COMPLETED` 的行；⑤未知行仍展示并可查看数据库原始状态值 |
| DSS-AC-023 | NOT_RUN | DSS-REQ-022, DSS-REQ-025 | 存在可命中的数据及关联配置缺失/停用的 RUN_STATE 行 | ①在探针端条件选两个具体探针端 X、Y（其余条件“全部”）查询；②再选具体源库 Z 与状态“快照进行中”与所设探针端组合查询；③对关联配置缺失/停用行重复上述查询 | ①命中 X 或 Y 对应的行（同一条件内“或”）；②命中同时满足所设探针端、源库、状态的行（跨条件“且”）；③命中只作用于 RUN_STATE 原始记录及可解析/可展示补充信息，查询不因关联配置缺失或停用排除本应命中的 RUN_STATE 行 |
